r,tau,nur,nu_r,Jtau,Jr,T,mu,alpha,ur,v,n,ok,kappa,tau_n
0.04166666666666667,2.236902474503249,-7.780269982142786e-6,-7.780269982142786e-6,0.04247515937248928,2.823625137141158e-5,0.33837047178528584,-0.19332898886782626,-0.5713530138956802,0.0008479433447608876,0.0008479430399220634,0.04247515069973302,true,0.011893695186261299,0.08200916641282024
0.12499999999999999,2.236902474503249,-2.334080994642835e-5,-2.334080994642835e-5,0.04247515937248928,8.490407834388695e-5,0.3383439410595768,-0.19329236425207486,-0.5712895689715904,0.0025484327734380413,0.0025484244980677924,0.04247508092759465,true,0.011889532062639752,0.0820192763780843
0.20833333333333331,2.236902474503249,-3.8650352670516716e-5,-3.8650352670516716e-5,0.0424626755627587,0.0001424417959750756,0.3382887999632545,-0.19321810468291478,-0.5711631739031929,0.004264759347657517,0.004264720564097666,0.04246245424025154,true,0.011880816975007896,0.08204029580572224
0.2916666666666667,2.236902474503249,-5.349149447023036e-5,-5.349149447023036e-5,0.04242340572187747,0.00020134123480913856,0.3382057417551729,-0.19310770004835734,-0.5709770007043464,0.006006952822461361,0.00600684444950655,0.042422961659777235,true,0.01186764600037036,0.08207197494497635
0.375,2.236902474503249,-6.77643554413369e-5,-6.77643554413369e-5,0.042361765016606795,0.00026197014142747275,0.33809518669719485,-0.19296283160595937,-0.5707352225004638,0.007783915049625153,0.007783679249227903,0.04236100917939598,true,0.011850055449117498,0.08211417501949228
0.4583333333333333,2.236902474503249,-8.14289868926403e-5,-8.14289868926403e-5,0.042279325580905205,0.0003245499569770877,0.3379575131569404,-0.19278549170038906,-0.5704429823131747,0.009602569275122748,0.00960212658246615,0.04227815829681046,true,0.011828065176224083,0.0821667798951161
0.5416666666666666,2.236902474503249,-9.456063556236099e-5,-9.456063556236099e-5,0.04217661040945215,0.00038909696183563806,0.3377927549107045,-0.1925775484401575,-0.5701056213922213,0.011467895596585264,0.011467141584404166,0.04217492157340665,true,0.011801632028728118,0.08222981175300327
0.6249999999999999,2.236902474503249,-0.00010729397436973253,-0.00010729397436973253,0.04205354585547476,0.0004554517743310403,0.33760090430152667,-0.19234060093850677,-0.5697277420996439,0.013382389337663335,0.013381191183617304,0.04205121630387661,true,0.011770717325904161,0.08230331561643646
0.7083333333333333,2.236902474503249,-0.00011980208489468264,-0.00011980208489468264,0.04190879555828187,0.0005233006062099181,0.33738194972701047,-0.19207592509579216,-0.5693129856271465,0.015346425396585603,0.015344618576130113,0.041905699502353386,true,0.011735296524762,0.08238734512973225
0.7916666666666666,2.236902474503249,-0.0001323189719888962,-0.0001323189719888962,0.041740974956124624,0.0005922204879269749,0.3371356426117827,-0.19178408560889415,-0.5688632745062103,0.017359650938721088,0.0173570357994386,0.04173698321892923,true,0.011695325349523356,0.08248205234813122
0.8749999999999999,2.236902474503249,-0.00014505903515574646,-0.00014505903515574646,0.04155127504181209,0.0006618288979347619,0.3368618801765598,-0.19146500033293393,-0.5683783520788436,0.019421435058552625,0.01941777328809013,0.041546257043203354,true,0.011650815520038611,0.0825875412029754
0.9583333333333331,2.236902474503249,-0.00015820113578439543,-0.00015820113578439543,0.04134081586322315,0.000731806858216108,0.33656075259407797,-0.19111814040269712,-0.5678562902228903,0.02153177036359336,0.02152678084960086,0.04133464081083452,true,0.011601836786641747,0.08270384889155656
1.0416666666666667,2.236902474503249,-0.00017193899116534544,-0.00017193899116534544,0.041109967858629644,0.0008018770105669726,0.33623222581432993,-0.19074235050016197,-0.5672934830627787,0.0236923754098779,0.0236857286034468,0.041102505970182786,true,0.011548458344267295,0.08283106806384026
1.125,2.236902474503249,-0.00018643762505619665,-0.00018643762505619665,0.0408595127570357,0.0008718498491595635,0.3358763889184683,-0.19033601168301142,-0.5666847029524728,0.02590626728396538,0.02589757836003828,0.04085063520018512,true,0.011490792818883223,0.08296925137723915
1.2083333333333333,2.236902474503249,-0.0002018476916395258,-0.0002018476916395258,0.04058930885680977,0.0009415622510894418,0.33549336174290634,-0.18989721973488607,-0.5660237768889365,0.028177458639742407,0.028166279279552217,0.04057888815836163,true,0.011428970809153071,0.08311844694897459
1.2916666666666667,2.236902474503249,-0.00021837264689887693,-0.00021837264689887693,0.04029872348105722,0.001010820310776375,0.3350828981951575,-0.18942349912659004,-0.5653033925242786,0.03051118423898802,0.03049699222264424,0.04028663548576904,true,0.011363070928767767,0.08327885350663985
1.375,2.236902474503249,-0.00023621545620872188,-0.00023621545620872188,0.0399883466024203,0.0010794594547570012,0.3346446271109876,-0.18891182338174473,-0.5645147361624623,0.03291287821592085,0.03289506612397732,0.03997447146173001,true,0.011293167700025914,0.08345072840965356
1.4583333333333333,2.236902474503249,-0.00025557760266833857,-0.00025557760266833857,0.039659399188247214,0.0011473260626012282,0.33417802485821063,-0.18835873691277769,-0.5636478849640008,0.03538787748943671,0.0353657401266295,0.03964362275438345,true,0.011219321967131305,0.08363439982173106
1.5416666666666667,2.236902474503249,-0.0002767148279256994,-0.0002767148279256994,0.03931262474588501,0.0012142213341780439,0.33368208451394443,-0.18776001019528837,-0.5626913128068821,0.03794228692259509,0.03791500519226489,0.03929484179868643,true,0.011141527462339701,0.08383039952857602
1.625,2.236902474503249,-0.00029985559016862867,-0.00029985559016862867,0.03894867820764018,0.0012799686374692363,0.33315563594465597,-0.18711068007333265,-0.5616314415416811,0.040582408982061294,0.040549031971309095,0.038928793712965565,true,0.011059773621610137,0.08403934057197009
1.7083333333333333,2.236902474503249,-0.00032518399210865455,-0.00032518399210865455,0.03856737042592097,0.0013444061953682648,0.3325973777306845,-0.18640531697573057,-0.5604533572921593,0.043315013029029396,0.043274436512254884,0.03854530036405559,true,0.01097404312567471,0.0842619073512364
1.7916666666666667,2.236902474503249,-0.0003528966147110839,-0.0003528966147110839,0.038168434879521505,0.00140740686004571,0.33200554100991325,-0.18563778010160034,-0.5591406081263488,0.046148766177440945,0.04609970281898208,0.0381441069949404,true,0.010884255031708798,0.0844989935523217
1.875,2.236902474503249,-0.00038310946986439817,-0.00038310946986439817,0.03775227736381361,0.0014689706160022531,0.33137828709097644,-0.1848014231508334,-0.5576751113451742,0.04909341990620451,0.049034365040064164,0.03772562778077276,true,0.010790336579061859,0.0847515484864728
1.9583333333333333,2.236902474503249,-0.00041585760083164106,-0.00041585760083164106,0.03731913069764026,0.0015291773445063645,0.33071379798343736,-0.18388957405404768,-0.5560384089667076,0.052159552140426634,0.05208874345914114,0.03729010057642907,true,0.010692225101892936,0.08502054385144983
2.0416666666666665,2.236902474503249,-0.0004512006285701942,-0.0004512006285701942,0.03686913796785842,0.0015881140768811332,0.3300099209656174,-0.18289530229379705,-0.5542115272130025,0.0553594869662988,0.055274852093451836,0.03683767349023305,true,0.010589807919604831,0.08530712168948291
2.1249999999999996,2.236902474503249,-0.0004891491015924452,-0.0004891491015924452,0.03640212806872156,0.0016458509122067879,0.3292646430133055,-0.1818115749724886,-0.5521746073572243,0.05870516447480046,0.05860426749408634,0.036368180430116914,true,0.010483009124554786,0.08561240703727772
2.208333333333333,2.236902474503249,-0.0005296953746432327,-0.0005296953746432327,0.03591730474625363,0.001702345846358238,0.32847615762387533,-0.18063163064375434,-0.5499078896636032,0.06220705965692868,0.06208704596153985,0.03588083464017036,true,0.010371789697189967,0.08593748254485961
2.2916666666666665,2.236902474503249,-0.0005729486408723635,-0.0005729486408723635,0.035414104889369115,0.0017573951554294763,0.32764237738247254,-0.17934839591100285,-0.5473907171099571,0.06587526891565307,0.06573279789717296,0.03537509348592748,true,0.010256074170600248,0.08628359281647181
2.3749999999999996,2.236902474503249,-0.0006190264706300084,-0.0006190264706300084,0.03489235015228866,0.0018106852937111026,0.32676139945016935,-0.17795437313337925,-0.5446003519167724,0.06971751485397232,0.06954869790873684,0.03485080857271367,true,0.010135842073005783,0.08665195772849806
2.458333333333333,2.236902474503249,-0.0006680395217480257,-0.0006680395217480257,0.03435224351573426,0.0018618257467858542,0.32583151322474735,-0.17644189428502718,-0.5415126748753846,0.07373932878645995,0.07353966429336815,0.03430822208675183,true,0.01001111994932694,0.08704377138416906
2.5416666666666665,2.236902474503249,-0.0007201812352266004,-0.0007201812352266004,0.03379453573743048,0.001910380620518866,0.32485062995948616,-0.17480249658088087,-0.5381011469877137,0.07794688063922002,0.0777111626509568,0.03374813506548284,true,0.009881895030910918,0.08746044736503092
2.6249999999999996,2.236902474503249,-0.0007755775132589588,-0.0007755775132589588,0.033219672944668446,0.0019559248032475617,0.32381683294733665,-0.17302704105359984,-0.5343361538025411,0.08234597310927944,0.08206819675721577,0.0331710490916369,true,0.00974821285105299,0.08790339451008607
2.708333333333333,2.236902474503249,-0.0008342525015710707,-0.0008342525015710707,0.03262760410658595,0.001998082112981538,0.3227284272911949,-0.17110628392095886,-0.5301865886346951,0.08694284999158049,0.08661609820760577,0.03257696998461508,true,0.009610166895977192,0.08837399865942917
2.7916666666666665,2.236902474503249,-0.0008962233942610982,-0.0008962233942610982,0.0320183892959548,0.0020365631256415596,0.32158334590681437,-0.16903057067399632,-0.5256197897853098,0.09174701423062463,0.09136329409900805,0.031966015946093974,true,0.009467800443836478,0.08887388551560732
2.8749999999999996,2.236902474503249,-0.0009613838740897848,-0.0009613838740897848,0.031391839850916294,0.002071173240053051,0.32037978738482814,-0.16679026160287874,-0.5206016988909995,0.09676916309828884,0.09631923425527264,0.031338052506072155,true,0.009321208612442565,0.0894046535190946
2.958333333333333,2.236902474503249,-0.0010295031277048907,-0.0010295031277048907,0.03074798033444476,0.002101836381290083,0.31911626635226903,-0.164376443549614,-0.5150989181108073,0.10202078885140513,0.1014939692550915,0.030693151310129736,true,0.009170524448034538,0.08996785368017661
3.0416666666666665,2.236902474503249,-0.0011003460637296879,-0.0011003460637296879,0.030087773821684063,0.0021286190680382647,0.3177909483034016,-0.1617806287705767,-0.5090787816150175,0.10751635233390076,0.1069002567206865,0.0300323165888305,true,0.009015811671765562,0.09056529188385831
3.1249999999999996,2.236902474503249,-0.0011735700495977576,-0.0011735700495977576,0.029412036676203245,0.0021516356728684136,0.3164023346508418,-0.15899514605826962,-0.5025093959364266,0.11327021675556483,0.11255049848088244,0.029356399393513196,true,0.008857174168110871,0.09119873295014846
3.208333333333333,2.236902474503249,-0.0012487256817086184,-0.0012487256817086184,0.028721055597123613,0.002170977216266852,0.31494929984399433,-0.15601379284011346,-0.49536161190830613,0.11929591378423962,0.11845598749874796,0.02866571695121424,true,0.008694742683254375,0.09186988436051166
3.2916666666666665,2.236902474503249,-0.0013253786881118606,-0.0013253786881118606,0.028015515182402972,0.00218676595447204,0.31343037560427217,-0.15283143291099308,-0.48760887522897106,0.12560877506669593,0.12462944822607955,0.027960981553390808,true,0.00852856632924189,0.09258073251401575
3.3749999999999996,2.236902474503249,-0.0014030024864290901,-0.0014030024864290901,0.027296210374550905,0.0021991354699042523,0.3118444887119402,-0.14944432382071704,-0.47922708026038935,0.13222247428711228,0.13108160348533024,0.027243008238611085,true,0.008358730404125691,0.09333321201002738
3.458333333333333,2.236902474503249,-0.001480974615299098,-0.001480974615299098,0.02656405744943285,0.002208229608539876,0.3101909872004515,-0.14585071417465867,-0.47019649246097234,0.13914844526629852,0.13782058105666598,0.026512723277494585,true,0.008185343902703604,0.09412919176466139
3.5416666666666665,2.236902474503249,-0.00155869515166669,-0.00155869515166669,0.025820712436262234,0.0022142724538770646,0.30846887392460814,-0.14205036504649343,-0.4605014542932831,0.14639917514541986,0.14485508565623445,0.02577178185461787,true,0.008008429679590498,0.09497084901524451
3.6249999999999996,2.236902474503249,-0.0016354855261995302,-0.0016354855261995302,0.025067700762877038,0.002217469869357131,0.3066775540264107,-0.1380448194198375,-0.4501301696437466,0.15398457729785014,0.15219083057881766,0.025021696738524307,true,0.007828042471126496,0.09586032079870181
3.708333333333333,2.236902474503249,-0.0017105786698439834,-0.0017105786698439834,0.024305993642078746,0.002217955326800849,0.30481682129977355,-0.1338379127199587,-0.43907653176507333,0.16191182964625705,0.15983037118264712,0.024263415497359542,true,0.007644253913491885,0.09679970841402648
3.7916666666666665,2.236902474503249,-0.0017832154317318758,-0.0017832154317318758,0.02353672458749487,0.002215899592271868,0.30288604594967994,-0.12943529383213306,-0.42733990410914086,0.1701893548332082,0.16777691856797408,0.02349803269377819,true,0.00745704170341405,0.09779149484284864
3.8749999999999996,2.236902474503249,-0.0018525656832463486,-0.0018525656832463486,0.022760928956347688,0.0022114631224381944,0.30088493063790933,-0.12484470968660748,-0.414925099179686,0.17882314518121334,0.17603076205626236,0.022726525705418017,true,0.007266406127995741,0.09883817956444334
3.9583333333333326,2.236902474503249,-0.0019177228032345893,-0.0019177228032345893,0.02197936774286013,0.0022047776404238574,0.2988134971146193,-0.12007641911826085,-0.40184402738743014,0.187816854916646,0.18458936022691713,0.021949576599437963,true,0.007072360213368237,0.09994228613913288
4.041666666666667,2.236902474503249,-0.001977773176141302,-0.001977773176141302,0.021193041745939098,0.002196064896744622,0.29667128528490383,-0.11514277674677727,-0.3881156770403365,0.19717605470892516,0.19345137234994367,0.021168077833017905,true,0.006874826499992803,0.10110680183021403
4.125,2.236902474503249,-0.002031764791306237,-0.002031764791306237,0.020403034995644585,0.002185561148466284,0.2944581506054263,-0.110058540153566,-0.3737663227432423,0.20690431454077687,0.2026128937908839,0.020382977267210958,true,0.006673756391058642,0.10233477542385666
4.208333333333333,2.236902474503249,-0.00207872352067468,-0.00207872352067468,0.01961020973908067,0.002173449558601233,0.2921742815749466,-0.10484108099099794,-0.3588306281643232,0.2170031960577028,0.21206746452162936,0.0195949790442037,true,0.006469131661766941,0.10362931009116799
