kind,τ,i,col,rC,rF,method,okL,okR,λmL,λpL,λmR,λpR,sL,sR,UL_Dtau,UL_Sr,UL_E,UL_Pi,UL_piR,UL_piEta,UR_Dtau,UR_Sr,UR_E,UR_Pi,UR_piR,UR_piEta,FL_Dtau,FL_Sr,FL_E,FL_Pi,FL_piR,FL_piEta,FR_Dtau,FR_Sr,FR_E,FR_Pi,FR_piR,FR_piEta,Fh_Dtau,Fh_Sr,Fh_E,Fh_Pi,Fh_piR,Fh_piEta,S_Dtau,S_Sr,S_E,S_Pi,S_piR,S_piEta,div_Dtau,div_Sr,div_E,div_Pi,div_piR,div_piEta,dU_Dtau,dU_Sr,dU_E,dU_Pi,dU_piR,dU_piEta
face,0.4,16,15,1.2083333333333333,1.1666666666666667,fo,true,false,-0.5628491138442536,0.5628491138442536,0.0,0.0,-0.5628491138442536,0.5628491138442536,0.0,0.0,183.19165844978482,0.0,0.0,0.0,0.0,0.0,182.56725556444218,0.0,0.0,0.0,0.0,55.892683676303236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.946341838151618,0.175722305348452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
face,0.4,16,16,1.2083333333333333,1.25,fo,false,true,0.0,0.0,-0.5628063885743436,0.5628063885743436,-0.5628063885743436,0.5628063885743436,0.0,0.0,182.56725556444218,0.0,0.0,0.0,0.0,0.0,181.87935536211432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.476978706961965,0.0,0.0,0.0,0.0,0.0,27.738489353480983,0.19357731428584965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell,0.4,16,0,1.2083333333333333,NaN,,false,false,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0,0.0,-456.4181389111054,0.0,0.0,0.0,0.0,24.828554568092045,0.44354743940941654,0.0,0.0,0.0,0.0,-20.54776929773135,-456.78521265406494,0.0,0.0,0.0
