r,tau,Dtau,Sr,E,nur,Pi,piR,piEta,piPhi,D,T,mu,alpha,phi,ur,v,n,e,P,ok
0.024999999999999994,6.404803043058722,0.17539695445277087,0.0,1.161136949714299,-4.551236235555736e-6,-0.006669483384304689,0.003070785084763621,-0.012406963637827917,0.009336178553064296,0.027385222195530166,0.1596524822514809,1.3917303783040884,8.717248605705151,-0.6781580854181006,0.0,0.0,0.0273852221955303,1.161136949714309,0.37528108610137634,true
0.07499999999999998,6.404803043058722,0.17451480434843558,0.01504640822934451,1.1533051770039255,-1.366666368520264e-5,-0.006678218542131555,0.0018846987357452449,-0.010453412244858127,0.008568713509112882,0.027247489606658237,0.15937480473090088,1.3915740621909425,8.73145579403576,-0.6803204433230908,0.009891697389613745,0.00989121349520858,0.027246291853211802,1.1531563497678006,0.3726776525501048,true
0.125,6.404803043058722,0.17484582975512164,0.023948739151095848,1.1562508768190596,-2.2731944938682887e-5,-0.006677686470958101,0.004131649168603544,-0.010693664690589893,0.006562015521986349,0.02729917353892916,0.1594694109577123,1.3916424488507444,8.726704641931464,-0.6794880002283923,0.01568269485394988,0.015680766654386936,0.027296173494750282,1.155875342228774,0.37356354467248365,true
0.175,6.404803043058722,0.17472969754843637,0.03393661151911129,1.1554860285926254,-3.1900120741618495e-5,-0.006677821763715827,0.004684895613100771,-0.010641563855114588,0.005956668242013817,0.027281041489293206,0.15942964890338607,1.391612577063463,8.728693731909154,-0.6798448323888576,0.02223446179075438,0.02222896778793695,0.027275009438289723,1.154731652748347,0.37319099026354086,true
0.22499999999999998,6.404803043058722,0.1746520394864299,0.04350850856700375,1.1553202991269935,-4.098409000939483e-5,-0.006677235860483258,0.005066268733333778,-0.010681223162733927,0.005614954429400149,0.02726891651659937,0.15940724380615895,1.3915718897405434,8.729665330847267,-0.6801956276924684,0.028510169876012424,0.028498589977254733,0.02725900828874689,1.1540803679808331,0.37298053587514524,true
0.275,6.404803043058722,0.17453158275222275,0.05319890328573745,1.1550490989412534,-5.010482749626444e-5,-0.006676485621175322,0.005219000049757573,-0.010689673427223927,0.005470673377466354,0.02725010926625969,0.15937688978594958,1.391504813496361,8.730907067926946,-0.6807460394625153,0.03487630652052307,0.03485511483551236,0.02723529679098988,1.1531948450581213,0.3726952325288458,true
0.325,6.404803043058722,0.17440658701165593,0.06282640625184072,1.154952372920524,-5.919574475629837e-5,-0.006675448723734115,0.005319389037196158,-0.010708227626115943,0.005388838588919784,0.027230593328029195,0.159348657314399,1.3914230218455215,8.731940672083656,-0.6813799374553459,0.04120488540096321,0.04116995017607111,0.027209941111913234,1.152365812905412,0.37242948915689783,true
0.375,6.404803043058722,0.17426806753839677,0.0724602090382573,1.1548974789137993,-6.830714182969065e-5,-0.006674209652477739,0.005374915430157613,-0.010722335471747538,0.005347420041589925,0.027208965891193447,0.15931770266537745,1.3913295045761067,8.733050259319784,-0.6820993122913597,0.04754560853127052,0.047491959031460924,0.027181504225713905,1.1514562016347616,0.37213818239004476,true
0.42500000000000004,6.404803043058722,0.17412119489597352,0.08207604653320046,1.1548984792818642,-7.741689354383391e-5,-0.006672760865957056,0.005415918999887267,-0.010738005947464038,0.005322086947576771,0.027186034250448864,0.15928456172085656,1.3912278191560596,8.734228880223574,-0.6828796191470314,0.053881890353123685,0.053803843736650106,0.02715081522967776,1.1504824724996967,0.3718264487476721,true
0.475,6.404803043058722,0.17396256864115556,0.09168105819693029,1.1549256642298267,-8.653862977666687e-5,-0.006671115516357365,0.005448173804180846,-0.010753964970657809,0.005305791166476963,0.027161267484983705,0.1592481806383832,1.3911173090345832,8.73553031160524,-0.683729575615466,0.06022024470708633,0.06011134711132414,0.027117343713160158,1.1494145923170458,0.37148449425062086,true
