r,tau,Dtau,Sr,E,nur,Pi,piR,piEta,piPhi,D,T,mu,alpha,phi,ur,v,n,e,P,ok
-0.025,3.0,0.6561987306910577,1.3276341456658344e-5,-0.008421244183278359,1.3602861864053283e-5,-1.4827712619645742e-10,0.0,-0.4375626507643674,0.2188359640744657,0.38740012190791,0.25813104938508846,1.4754030434909697,5.7157131891170305,0.0,-0.00169767951707513,0.0,-0.00842123377979688,0.0,2.534703851824782,true
0.025,3.0,0.6561987306910577,1.3276341456658344e-5,0.008421244183278359,-1.3602861864053283e-5,-1.4827712619645742e-10,0.0,-0.4375626507643674,0.2188359640744657,0.38740012190791,0.25813104938508846,1.4754030434909697,5.7157131891170305,0.0,0.00169767951707513,0.0,0.00842123377979688,0.0,2.534703851824782,true
0.07500000000000001,3.0,0.6562223561081266,0.00011852861248039202,0.02526086115524423,-4.200870272079796e-5,-1.482729143866474e-10,0.0,-0.43758612770707406,0.21892173772755982,0.38740857378057203,0.25812541788669846,1.4753817208065962,5.7157552823960955,0.0,0.005066413600004192,0.0,0.025260584842987488,0.0,2.5344826669538953,true
0.12500000000000003,3.0,0.6563015765760464,0.0003285491160038535,0.042085429548824105,-7.109608211484983e-5,-1.4827033998540032e-10,0.0,-0.4375346630089628,0.21896315682674972,0.38743691340276426,0.25810653693713465,1.4753138631076064,5.7159104942271926,0.0,0.008440472247478807,0.0,0.04208415552850428,0.0,2.533741197229969,true
0.17500000000000002,3.0,0.656434634946291,0.0006430780620169026,0.05888062095811452,-0.00010014469034258236,-1.4826907052354612e-10,0.0,-0.43742297845256967,0.21896009386598833,0.3874845087131741,0.25807483331939485,1.4751948292346324,5.716151436621963,0.0,0.011815351634184311,0.0,0.05887713256320566,0.0,2.5324965372055543,true
0.225,3.0,0.6566208098147662,0.0010616643331856452,0.07563238980569834,-0.0001290839851593427,-1.482689655083392e-10,0.0,-0.4372572430062657,0.21892215608815943,0.3875510959300321,0.25803049210846213,1.4750247157440226,5.7164744511048005,0.0,0.015190693577072574,0.0,0.07562498824293895,0.0,2.5307565040962556,true
0.275,3.0,0.6568594086375241,0.0015836321654881722,0.09232713171293663,-0.0001579254327619043,-1.4826988948831972e-10,0.0,-0.4370411821137873,0.21885628685256037,0.3876364194420877,0.2579736964445361,1.4748044209171136,5.716879051016715,0.0,0.018566277177848412,0.0,0.09231364107617854,0.0,2.5285290446503508,true
0.325,3.0,0.6571498874416642,0.0022081054125713813,0.10895157947989925,-0.00018668243247698993,-1.482717327269854e-10,0.0,-0.436776964482217,0.21876695546016153,0.3877402746999794,0.25790459883842787,1.474534812240388,5.717365331527706,0.0,0.021941934908277762,0.0,0.10892935350631977,0.0,2.5258211004124393,true
0.375,3.0,0.6574918606535166,0.0029340239142471723,0.12549271817851795,-0.00021536079324359234,-1.482744123011068e-10,0.0,-0.4364658432062882,0.2186569364959155,0.3878625117632299,0.257823318746115,1.4742165932055014,5.717933507237174,0.0,0.025317543627125287,0.0,0.1254586484939681,0.0,2.522638507701647,true
0.425,3.0,0.657885075720542,0.0037601524461883594,0.14193773639130836,-0.00024396022634515777,-1.4827786711588503e-10,0.0,-0.43610856706238865,0.21852792419599076,0.38800302623138483,0.2577299485812907,1.473850317082615,5.718583832401406,0.0,0.028693012888644308,0.0,0.14188826215561612,0.0,2.5189862306734265,true
0.475,3.0,0.6583293839324627,0.0046850862244136645,0.15827400237936082,-0.0002724765434521245,-1.4828205244242593e-10,0.0,-0.43570562003054997,0.21838094492824153,0.3881617488037539,0.2576245606584945,1.473436423666321,5.719316589614681,0.0,0.03206827476571241,0.0,0.15820512128882636,0.0,2.5148686317064626,true
0.525,3.0,0.6588247157892007,0.005707255003679762,0.1744890558416547,-0.000300903189526795,-1.4828693541834213e-10,0.0,-0.43525735398582693,0.2182166191108864,0.3883386364594335,0.2575072130646629,1.4729752726450545,5.7201320891744265,0.0,0.03544327623367996,0.0,0.17439633645692162,0.0,2.5102896999600324,true
0.5750000000000001,3.0,0.6593710621892164,0.006824926709364669,0.19057060923399308,-0.00032923219079355115,-1.482924916628069e-10,0.0,-0.43476405984890054,0.21803532340763507,0.38853366571606773,0.25737795414896664,1.4724671694406295,5.7210306698933,0.0,0.038817973821165426,0.0,0.19044920460151904,0.0,2.505253225648152,true
0.625,3.0,0.6599684606976225,0.008036211058373035,0.2065065548482669,-0.0003574547180388377,-1.4829870283719465e-10,0.0,-0.43422600475872863,0.21783728988735182,0.3887468277037892,0.2572368258042644,1.4719123842335886,5.7220127002872845,0.0,0.04219232997638998,0.0,0.20635121737926806,0.0,2.499762926706521,true
0.675,3.0,0.6606169857567167,0.009339063397658314,0.2222849752641101,-0.00038556140878782084,-1.483055549214685e-10,0.0,-0.43364345103716045,0.21762266618820364,0.3889781246480495,0.25708386580988535,1.4713111656965465,5.723078580063782,0.0,0.04556631064848118,0.0,0.22209007282864068,0.0,2.493822538389658,true
0.725,3.0,0.6613167418005124,0.010731288867539103,0.2378941556726728,-0.0004135425406030577,-1.4831303699500847e-10,0.0,-0.433016665638049,0.21739155181336692,0.38922756739006614,0.25691910948276836,1.4706637508190252,5.724228741800395,0.0,0.048939883698608765,0.0,0.2376536888599387,0.0,2.487435875483193,true
0.775,3.0,0.662067858450879,0.01221054692481937,0.25332259712389044,-0.0004413881158956629,-1.483211403856402e-10,0.0,-0.4323459247386057,0.2171440199019785,0.38949517365069564,0.256742590832926,1.46997037189405,5.725463652622506,0.0,0.052313017864411684,0.0,0.2530302176139929,0.0,2.480606874828833,true
0.8250000000000001,3.0,0.6628704871827873,0.013774356215799461,0.2685590300863346,-0.0004690878991840758,-1.483298580744502e-10,0.0,-0.43163151590495336,0.21688013019948718,0.3897809668185674,0.2565543433693296,1.4692312614453842,5.726783815662452,0.0,0.055685682086356075,0.0,0.2682080600740179,0.0,2.4733396239079277,true
0.875,3.0,0.6637247990169443,0.015420099762280114,0.2835924279157157,-0.0004966314347847928,-1.4833918426217983e-10,0.0,-0.43087373906786275,0.21659993672258065,0.3900849751043831,0.2563544006616531,1.4684466556487616,5.728189771108618,0.0,0.05905784506669912,0.0,0.2831758805236224,0.0,2.465638379634707,true
0.925,3.0,0.6646309829272338,0.017145030410393336,0.29841201996028827,-0.000524008063243573,-1.4834911407298223e-10,0.0,-0.430072906917973,0.21630349224952788,0.3904072309494938,0.2561427967325144,1.4676167966410043,5.729682096715809,0.0,0.06242947497518501,0.0,0.29792262057765495,0.0,2.4575075803002298,true
0.975,3.0,0.6655892447445684,0.018946276490138116,0.3130073041241462,-0.0005512069469566908,-1.4835964333242507e-10,0.0,-0.42922934501047383,0.21599085093225243,0.39074777061056526,0.2559195663323796,1.46674193400493,5.731261407734552,0.0,0.06580053924536591,0.0,0.3124375126064685,0.0,2.4489518527243788,true
1.0250000000000001,3.0,0.6665998064058273,0.020820847640547587,0.32736805878229047,-0.0005782171089547152,-1.483707684154713e-10,0.0,-0.4283433917120645,0.2156620698152017,0.39110663386615985,0.25568474513326944,1.4658223256501426,5.732928356308932,0.0,0.06917100442558198,0.0,0.3267100924477171,0.0,2.439976016042641,true
1.0750000000000002,3.0,0.6676629054435614,0.022765640768580345,0.3414843540026714,-0.0006050274837972116,-1.4838248612746216e-10,0.0,-0.42741539804933243,0.21531720973230437,0.39148386380788197,0.2554383698661826,1.4648582382660027,5.734683630471816,0.0,0.07254083606231292,0.0,0.3407302113611491,0.0,2.4305850831126947,true
1.1250000000000002,3.0,0.668778794644462,0.024777446125652625,0.3553465620809402,-0.0006316269761671321,-1.4839479362426185e-10,0.0,-0.42644572748605747,0.21495633586034826,0.391879506690303,0.25518047841942554,1.4638499474918385,5.736527952917276,0.0,0.07590999860317914,0.0,0.354488047231893,0.0,2.4207842602215996,true
1.1750000000000003,3.0,0.6699477418263367,0.026852953500724152,0.3689453674310255,-0.0006580045211657852,-1.4840768834470862e-10,0.0,-0.42543475564602584,0.21457951808806575,0.3922936118216783,0.25491110990982996,1.462797737922953,5.73846207974376,0.0,0.07927845531400936,0.0,0.36797411506425337,0.0,2.4105789455692332,true
1.225,3.0,0.6711700296975535,0.02898875854019727,0.3822717758963883,-0.000684149140368838,-1.4842116796456942e-10,0.0,-0.4243828699972023,0.2141868312861423,0.39272623148255226,0.2546303047354318,1.4617019030451168,5.740486799337837,0.0,0.08264616821024136,0.0,0.38117927682881914,0.0,2.399974726868888,true
1.2750000000000001,3.0,0.6724459557718758,0.031181369210949175,0.3953171235522244,-0.0007100499890441939,-1.4843523035607856e-10,0.0,-0.42329046951725724,0.21377835551652666,0.3931774208625809,0.2543381046160098,1.460562745163869,5.742602931515009,0.0,0.08601309800810843,0.0,0.39409475073026357,0.0,2.3889773783193213,true
