r,tau,Dtau,Sr,E,nur,Pi,piR,piEta,piPhi,D,T,mu,alpha,phi,ur,v,n,e,P,ok
-0.025,4.7,0.9919961381331205,1.5053248265398058e-5,-0.006426974591853754,1.6664077331645063e-5,-1.9877294435026402e-10,0.0,-0.09368723724721752,0.04686336287814498,0.4952738793906935,0.2019084877301104,1.4221659682312968,7.04361656223336,0.0,-0.002646863307219894,0.0,-0.006426957261247458,0.0,0.9488251658057152,true
0.025,4.7,0.9919961381331205,1.5053248265398058e-5,0.006426974591853754,-1.6664077331645063e-5,-1.9877294435026402e-10,0.0,-0.09368723724721752,0.04686336287814498,0.4952738793906935,0.2019084877301104,1.4221659682312968,7.04361656223336,0.0,0.002646863307219894,0.0,0.006426957261247458,0.0,0.9488251658057152,true
0.07500000000000001,4.7,0.992017654086708,0.00013474299873247588,0.01928060868077531,-5.068086571844185e-5,-1.987691175800506e-10,0.0,-0.09370659432570069,0.04690337084816793,0.4952801507463323,0.2019059311165834,1.4221637551190665,7.043694790213412,0.0,0.007915292908907629,0.0,0.01928014612402862,0.0,0.9487771099501654,true
0.12500000000000003,4.7,0.9921083476864083,0.0003736717599845799,0.03212808110329376,-8.513851015642131e-5,-1.987670776937839e-10,0.0,-0.09370946409959047,0.04693544848097137,0.49530658489076745,0.2018951555470508,1.4221385111244333,7.0439456918668375,0.0,0.013188424783378701,0.0,0.03212594693154352,0.0,0.9485745850396506,true
0.17500000000000002,4.7,0.992266436744543,0.0007316003986769197,0.044961381745280936,-0.0001196057099664571,-1.9876660620609455e-10,0.0,-0.09370060096563561,0.04695833924752531,0.49535265968007114,0.20187637644781414,1.4220847414744544,7.044334589798173,0.0,0.018462155170861253,0.0,0.044955536742226,0.0,0.9482217127055504,true
0.225,4.7,0.9924913277059793,0.0012081416635074378,0.05777253618595118,-0.00015401125013053153,-1.9876762544884218e-10,0.0,-0.09368214581650436,0.046974969010089705,0.4954181974828162,0.2018496706582292,1.4220018198595368,7.04485578412096,0.0,0.023736243572575665,0.0,0.05776013194035926,0.0,0.9477200619169097,true
0.275,4.7,0.992782235415882,0.0018027114984856584,0.07055387164756112,-0.00018834639061652102,-1.9877003487972003e-10,0.0,-0.09365551703428451,0.04698769980323446,0.4955029629575039,0.20181514032354309,1.4218902319742397,7.045508229435682,0.0,0.029010530769450933,0.0,0.07053125723960127,0.0,0.9470717272665311,true
0.325,4.7,0.9931384479799333,0.0025145446347138783,0.08329796853811966,-0.00022261101124837335,-1.987737417736613e-10,0.0,-0.09362159758853418,0.04699817726579944,0.49560674031948493,0.20177288132832216,1.4217506199478789,7.04629190299575,0.0,0.0342848782671052,0.0,0.0832606997217958,0.0,0.9462787335558466,true
0.375,4.7,0.9935594008890246,0.0033427085957240623,0.09599759346888383,-0.0002568033830199393,-1.9877866959396253e-10,0.0,-0.09358091603783587,0.04700749497665651,0.4957293549863082,0.20172297442979134,1.4215835577954001,7.047207001650548,0.0,0.039559172343014155,0.0,0.09594044398572789,0.0,0.9453428677235813,true
0.425,4.7,0.9940446771557198,0.004286111987194033,0.10864565193668031,-0.00029091920020043,-1.9878475775821506e-10,0.0,-0.09353378272998135,0.04701636158361739,0.4958706736375299,0.20166548520894728,1.4213895164176429,7.048253770073393,0.0,0.04483332093448827,0.0,0.10856262681737357,0.0,0.9442656769885505,true
0.475,4.7,0.9945939868256236,0.00534350958765306,0.12123515847791365,-0.0003249522056676744,-1.9879195906306825e-10,0.0,-0.09348037914348617,0.047025227607507804,0.4960305982500852,0.20160046648892957,1.421168874549319,7.0494324705709905,0.0,0.05010724881278085,0.0,0.12111950926465817,0.0,0.943048513646786,true
0.525,4.7,0.9952071435740163,0.006513505949650611,0.13375921886283917,-0.00035889484563517664,-1.9880023682476107e-10,0.0,-0.09342081303627021,0.04703437355985076,0.4962090592762987,0.20152796110946877,1.4209219378661007,7.0507433809359314,0.0,0.055380893145591685,0.0,0.13360346070627382,0.0,0.9416925867062906,true
0.5750000000000001,4.7,0.9958840439626139,0.007794558357950608,0.14621102028221628,-0.0003927387357691563,-1.988095623732949e-10,0.0,-0.09335515131815846,0.047043968904134044,0.496406009592549,0.2014480043907611,1.4206489566985645,7.052186796265523,0.0,0.060654199944076156,0.0,0.14600695087120139,0.0,0.9401990077452773,true
0.625,4.7,0.9966246506564447,0.009184979556675993,0.15858382679861105,-0.0004264749691567662,-1.9881991304043793e-10,0.0,-0.0932834391570557,0.04705411077328632,0.49662141959931616,0.2013606261298233,1.420350140405156,7.053763030560965,0.0,0.06592712138009033,0.0,0.15832254708039087,0.0,0.9385688279951103,true
