r,tau,Dtau,Sr,E,nur,Pi,piR,piEta,piPhi,D,T,mu,alpha,phi,ur,v,n,e,P,ok
-0.025,4.1,0.8586680095416767,1.5085449772316747e-5,-0.0071526487416019476,1.6068766234410884e-5,-1.8144350616146733e-10,0.0,-0.1593634573296818,0.07971010434149739,0.455019033874019,0.21977102616697786,1.4365839567029195,6.536730440578779,0.0,-0.002339348077467014,0.0,-0.007152633023069136,0.0,1.3318305436714688,true
0.025,4.1,0.8586680095416767,1.5085449772316747e-5,0.0071526487416019476,-1.6068766234410884e-5,-1.8144350616146733e-10,0.0,-0.1593634573296818,0.07971010434149739,0.455019033874019,0.21977102616697786,1.4365839567029195,6.536730440578779,0.0,0.002339348077467014,0.0,0.007152633023069136,0.0,1.3318305436714688,true
0.07500000000000001,4.1,0.858691347916652,0.00013494080516724232,0.021456849843278832,-4.9047294390777916e-5,-1.8143955373174815e-10,0.0,-0.15938649534692045,0.07976337950800308,0.4550263420811494,0.21976749641049573,1.4365760722052032,6.536799552568388,0.0,0.006991975945800984,0.0,0.021456430822320325,0.0,1.3317449836255066,true
0.12500000000000003,4.1,0.8587799812577691,0.0003741703946479077,0.0357520133214167,-8.25413760054292e-5,-1.8143741071035995e-10,0.0,-0.1593812662252381,0.07980153985192169,0.4550540959353409,0.21975409274023786,1.436537856505762,6.53702435569122,0.0,0.011649564035031467,0.0,0.03575008031187368,0.0,1.3314201209585135,true
0.17500000000000002,4.1,0.8589320807103561,0.0007325094686098844,0.05002797964968213,-0.00011603020507587775,-1.8143681619353883e-10,0.0,-0.15935494308388376,0.07982344038183317,0.4551017196889849,0.21973109674984243,1.4364640223460994,6.537372468410662,0.0,0.016307823655202145,0.0,0.05002268592054596,0.0,1.3308629091839794,true
0.225,4.1,0.8591469687017358,0.0012095202990569315,0.0642747103706946,-0.00014943941994098765,-1.8143766873648359e-10,0.0,-0.15931067766271417,0.07983359713055256,0.45516899598503596,0.2196986193745226,1.436354186780859,6.537838930759462,0.0,0.02096646853020846,0.0,0.06426347679921357,0.0,1.3300762536044548,true
0.275,4.1,0.8594238708994623,0.0018045472692537136,0.07848252417863574,-0.00018276466534298332,-1.8143985337957678e-10,0.0,-0.15925048280733434,0.07983549826560883,0.4552556751343317,0.2196567894963487,1.4362089875385133,6.538422922558408,0.0,0.025625312295018018,0.0,0.07846204589743962,0.0,1.3290635788816854,true
0.325,4.1,0.8597621241041078,0.0025167360579978915,0.09264202685923341,-0.00021600878109988495,-1.814432694879052e-10,0.0,-0.15917557609518837,0.07983150035741306,0.4553615402846193,0.21960572238379197,1.436029154399382,6.539124476409219,0.0,0.030284200171147194,0.0,0.0926082823044307,0.0,1.3278280606298174,true
0.375,4.1,0.8601612234972027,0.0033450489760442617,0.10674403541787299,-0.0002491713434610188,-1.8144783675856773e-10,0.0,-0.1590866714609936,0.07982312832695052,0.45548642225413893,0.21954551247678014,1.4358153135246527,6.539943801750488,0.0,0.034943009066633494,0.0,0.10669229743512638,0.0,1.3263724483012214,true
0.425,4.1,0.8606208109414227,0.004288273810907999,0.12077952827130531,-0.00028224831321685526,-1.814534933127561e-10,0.0,-0.15898418497382685,0.07981134691207313,0.45563019588514225,0.21947623512030917,1.4355679693706902,6.540881150908034,0.0,0.0396016417098801,0.0,0.12070437714949071,0.0,1.3246991057397957,true
