r,tau,Dtau,Sr,E,nur,Pi,piR,piEta,piPhi,D,T,mu,alpha,phi,ur,v,n,e,P,ok
-0.025,4.3,0.9009829422643355,1.5146586108662538e-5,-0.0069106861361660655,1.6317468992574417e-5,-1.8725059234997348e-10,0.0,-0.13352085029010635,0.0667855983658478,0.46811146156219197,0.21362433567910896,1.4313466092854579,6.700297532747034,0.0,-0.002445597114684757,0.0,-0.006910669759905581,0.0,1.188968468357277,true
0.025,4.3,0.9009829422643355,1.5146586108662538e-5,0.0069106861361660655,-1.6317468992574417e-5,-1.8725059234997348e-10,0.0,-0.13352085029010635,0.0667855983658478,0.46811146156219197,0.21362433567910896,1.4313466092854579,6.700297532747034,0.0,0.002445597114684757,0.0,0.006910669759905581,0.0,1.188968468357277,true
0.07500000000000001,4.3,0.9010058156969601,0.0001355205177614104,0.020731241097716065,-4.9739979903469605e-5,-1.8724668412823871e-10,0.0,-0.13354275222817139,0.06683413196261286,0.468118455147639,0.21362114417911848,1.4313407477478264,6.70037019625579,0.0,0.007310939736380529,0.0,0.020730804348732586,0.0,1.1888974185645769,true
0.12500000000000003,4.3,0.901095412805338,0.00037579552432745933,0.03454376310366209,-8.365226283298989e-5,-1.8724458887431474e-10,0.0,-0.13354098463528857,0.06687038182203836,0.46814584874534665,0.2136086441180773,1.4313071070560837,6.70060480448017,0.0,0.012181161567372478,0.0,0.03454174819642841,0.0,1.1886191704375086,true
0.17500000000000002,4.3,0.9012499123032786,0.0007357137331630365,0.04833882963768956,-0.00011756454378711075,-1.872440595862815e-10,0.0,-0.1335218151794129,0.06689314144010126,0.4681930825511903,0.21358709414308022,1.4312403182176072,6.70096816457848,0.0,0.017052029477005827,0.0,0.04833331149668852,0.0,1.1881395882501402,true
0.225,4.3,0.9014686591089435,0.0012148517579030618,0.062107110150093695,-0.00015140318243461723,-1.872450025827541e-10,0.0,-0.1334880205799504,0.06690632897291282,0.46825995125833564,0.213556593365019,1.4311399153622297,6.701455070113763,0.0,0.02192327184905898,0.0,0.062095400097270916,0.0,1.1874610592147985,true
0.275,4.3,0.9017508718954318,0.0018125743085174403,0.07583961323616119,-0.0001851620990101805,-1.8724730746122007e-10,0.0,-0.13344139519508033,0.06691301357418254,0.46834620897655627,0.21351726155427395,1.43100648632517,6.702064628912555,0.0,0.026794710632271745,0.0,0.07581826571958537,0.0,1.186586501573126,true
0.325,4.3,0.9020958693498913,0.0025280522197443636,0.08952762363697196,-0.0002188429807350798,-1.8725087597363878e-10,0.0,-0.13338303432761686,0.06691528939616329,0.46845163848011057,0.2134692074606668,1.4308407327618353,6.702796856663637,0.0,0.03166619564594023,0.0,0.08949244541426171,0.0,1.1855186564380995,true
0.375,4.3,0.902503125883618,0.0033602773932731493,0.10316262904601406,-0.0002524448510784018,-1.872556288659732e-10,0.0,-0.13331358415240158,0.06691452321156965,0.4685760682802495,0.21341252097448402,1.4306432643271685,6.703651959100463,0.0,0.03653760607829586,0.0,0.10310869046987066,0.0,1.1842599113617862,true
0.425,4.3,0.9029722635166632,0.004308071488037528,0.1167362708858343,-0.0002859634863483233,-1.8726150452651847e-10,0.0,-0.13323342167057378,0.06691158634554356,0.4687193701621958,0.21334727422379832,1.4304145748819865,6.7046301860950965,0.0,0.041408845574155057,0.0,0.11665791915614539,0.0,1.182812323493911,true
