r,T0,alpha0
-0.025,0.5099965374081114,3.7639345327427365
0.025,0.5099965374081114,3.7639345327427365
0.07500000000000001,0.5099688375362365,3.76388852252604
0.12500000000000003,0.5099134423961307,3.7637965243111613
0.17500000000000002,0.5098303611938075,3.763658582541923
0.225,0.5097196077350996,3.7634747639010278
0.275,0.5095812004218355,3.7632451573304353
0.325,0.5094151622467437,3.7629698740585407
0.375,0.5092215207870864,3.7626490476341563
0.425,0.5090003081970269,3.7622828339673187
0.475,0.50875156119873,3.76187141137693
0.525,0.5084753210722026,3.761414980645249
0.5750000000000001,0.5081716336438764,3.760913765079248
0.625,0.5078405492739376,3.760368010578856
0.675,0.5074821228424087,3.759777985712108
0.725,0.5070964137339871,3.759143981797236
0.775,0.5066834858216477,3.7584663129917
0.8250000000000001,0.5062434074490142,3.7577453163882324
0.875,0.5057762514115067,3.7569813521178754
0.925,0.5052820949362742,3.7561748034600804
0.975,0.504761019660916,3.755326076959898
1.0250000000000001,0.5042131116110055,3.754435602552282
1.0750000000000002,0.5036384611764196,3.7535038336935562
1.1250000000000002,0.5030371630864877,3.752531247500096
1.1750000000000003,0.5024093163839655,3.75151834489425
1.225,0.5017550243978471,3.7504656507575613
1.2750000000000001,0.5010743947150244,3.7493737140913317
1.3250000000000002,0.5003675391508035,3.74824310818458
1.3750000000000002,0.49963457371829223,3.747074430789458
1.4250000000000003,0.4988756185966682,3.745868304304154
1.475,0.4980907980983397,3.744625375963377
1.5250000000000001,0.49728024063501375,3.7433463180364597
1.5750000000000002,0.4964440786826823,3.7420318280331357
1.6250000000000002,0.49558244874554086,3.7406826289170834
1.6750000000000003,0.49469549131885354,3.7392994693272845
1.725,0.49378335085077785,3.7378831238072676
1.7750000000000001,0.4928461757031646,3.736434393042315
1.8250000000000002,0.4918841181113471,3.7349541041047125
1.8750000000000002,0.4908973341429355,3.733443110707106
1.9250000000000003,0.4898859836556316,3.7319022934640547
1.975,0.4888502302540796,3.7303325601618593
2.0250000000000004,0.4877902412457706,3.728734846036759
2.075,0.48670618759601547,3.7271101140615692
2.125,0.48559824388200457,3.7254593552408606
2.1750000000000003,0.48446658824597105,3.7237835889147717
2.225,0.4833114023474752,3.7220838630715534
2.2750000000000004,0.4821328713148281,3.7203612546689246
2.325,0.48093118369567217,3.718616869964374
2.3750000000000004,0.4797065314067379,3.716851844854471
2.4250000000000003,0.4784591096827946,3.7150673452233245
2.475,0.47718911702481487,3.7132645673002838
2.5250000000000004,0.4758967551473717,3.711444738026987
2.575,0.4745822289252877,3.709609115433891
2.6250000000000004,0.4732457463395563,3.7077589890263796
2.6750000000000003,0.47188751842255483,3.7058956801805785
2.725,0.4705077592025698,3.704020542549003
2.7750000000000004,0.4691066856476545,3.7021349624761593
2.825,0.46768451760883967,3.7002403594242255
2.8750000000000004,0.466241477762718,3.6983381864089524
2.9250000000000003,0.46477779155342386,3.696429930445908
2.975,0.46329368713402796,3.694517113007214
3.0250000000000004,0.46178939530737056,3.6926012904888994
3.075,0.46026514946635216,3.690684054689036
3.1250000000000004,0.458721185533705,3.6887670332967812
3.1750000000000003,0.45715774190126673,3.6868518903924885
3.225,0.45557505936877735,3.6849403269590364
3.2750000000000004,0.45397338108222196,3.683034081404536
3.325,0.4523529524717418,3.681134930096565
3.3750000000000004,0.4507140211891345,3.6792446879080973
3.4250000000000003,0.449056837044967,3.6773652087753015
3.475,0.4473816519453225,3.675498386267357
3.5250000000000004,0.44568871982820396,3.6736461541684817
3.575,0.4439782965996179,3.6718104870723245
3.6250000000000004,0.4422506400693577,3.6699934009889326
3.6750000000000003,0.44050600988651323,3.6681969539644292
3.725,0.4387446674747249,3.666423246713635
3.7750000000000004,0.4369668759672081,3.664674423265798
3.825,0.4351729001415686,3.662952671623614
3.8750000000000004,0.4333630063544318,3.661260224435759
3.9250000000000003,0.4315374624759083,3.659599359683124
3.975,0.4296965378239187,3.657972401378935
4.0249999999999995,0.42784050309839927,3.6563817202830013
4.075,0.42596963031541113,3.6548297346302614
4.125,0.4240841927411756,3.6533189108738826
4.175,0.42218446482605704,3.6518517644430952
4.225,0.42027072213851613,3.650430860516004
4.2749999999999995,0.4183432412990554,3.6490588148075918
4.325,0.4164022999141789,3.647738294373151
4.375,0.41444817651038734,3.646472018427371
4.425,0.4124811504682316,3.6452627591793147
4.475,0.410501501956445,3.644113342683534
4.5249999999999995,0.4085095118661766,3.643026649707555
4.575,0.40650546174534635,3.642005616615994
4.625,0.4044896337331435,3.641053236271542
4.675,0.4024623104946894,3.6401725589530876
4.725,0.400423775155885,3.639366693291224
4.775,0.3983743112384644,3.6386388072214113
4.825,0.39631420259527456,3.637992128955064
4.875,0.39424373334580115,3.637429947968824
4.925,0.3921631878119613,3.6369556160122984
4.975,0.3900728504541827,3.636572548134558
5.025,0.38797300580778865,3.6362842237296373
5.075,0.3858639384197089,3.6360941876013806
5.125,0.38374593278553454,3.636006051047872
5.175,0.3816192732869376,3.636023492965769
5.225,0.3794842441294721,3.6361502609748513
5.275,0.37734112928077623,3.6363901725630514
