r,T0,alpha0
-0.0125,0.5633143644675397,-1.5691463061075641
0.0125,0.5633124439031659,-1.5691296198649463
0.037500000000000006,0.5633086027744186,-1.5690962471382346
0.06250000000000001,0.5633047616456712,-1.5690628740895458
0.08750000000000001,0.5633009205169237,-1.5690295007188744
0.1125,0.5632930535716639,-1.5689644757052192
0.1375,0.5632811608098919,-1.568867796959182
0.1625,0.5632692680481197,-1.5687711151051422
0.1875,0.5632573752863477,-1.5686744301429238
0.2125,0.5632406305925276,-1.5685525366417385
0.2375,0.5632190339666596,-1.5684054299882497
0.2625,0.5631974373407918,-1.5682583140744737
0.28750000000000003,0.5631758407149239,-1.5681111888993977
0.3125,0.563148213344775,-1.5679477629904137
0.3375,0.5631145552303453,-1.5677680319338116
0.3625,0.5630808971159154,-1.5675882857283396
0.3875,0.5630472390014856,-1.5674085243718636
0.41250000000000003,0.5630062686055914,-1.5672233040087349
0.4375,0.5629579859282331,-1.5670326303233038
0.4625,0.5629097032508746,-1.5668419490694656
0.4875,0.5628614205735162,-1.5666512602535196
0.5125000000000001,0.5628048973775064,-1.566467997740429
0.5375000000000001,0.562740133662845,-1.5662921955116214
0.5625000000000001,0.5626753699481838,-1.5661164310886686
0.5875000000000001,0.5626106062335225,-1.5659407045366085
0.6125,0.5625378873076569,-1.565788378388255
0.6375000000000001,0.5624572131705865,-1.5656595352353864
0.6625000000000001,0.562376539033516,-1.5655308403459385
0.6875000000000001,0.5622958648964458,-1.5654022939794012
0.7125000000000001,0.5622084204778071,-1.5653138717641717
0.7375,0.5621142057775999,-1.5652657187014376
0.7625000000000001,0.5620199910773926,-1.5652179082972184
0.7875000000000001,0.5619257763771854,-1.5651704412539051
0.8125000000000001,0.561826162857967,-1.565175214740897
0.8375000000000001,0.5617211505197375,-1.5652324355780727
0.8625,0.5616161381815079,-1.5652902773587873
0.8875000000000001,0.5615111258432782,-1.5653487415703813
0.9125000000000001,0.56140156769156,-1.5654657961200713
0.9375000000000001,0.5612874637263532,-1.5656417052028773
0.9625000000000001,0.5611733597611464,-1.565818592460317
0.9875,0.5610592557959394,-1.5659964605899854
1.0125000000000002,0.5609401077893472,-1.5662330938569897
1.0375,0.5608159157413698,-1.5665288233531414
1.0625,0.5606917236933923,-1.5668259811835872
1.0875000000000001,0.5605675316454148,-1.5671245718662836
1.1125,0.5604368378635868,-1.5674791721326646
1.1375000000000002,0.5602996423479082,-1.567890202039202
1.1625,0.5601624468322297,-1.5683032346921058
1.1875000000000002,0.5600252513165511,-1.5687182773702066
1.2125000000000001,0.5598797743040009,-1.5691873133316394
1.2375,0.5597260157945793,-1.5697108824913801
1.2625000000000002,0.5595722572851576,-1.570237197179527
1.2875,0.5594184987757358,-1.5707662688823487
1.3125000000000002,0.5592548343913266,-1.5713473998118717
1.3375000000000001,0.5590812641319303,-1.5719812677749476
1.3625,0.5589076938725338,-1.5726188207808351
1.3875000000000002,0.5587341236131375,-1.5732600765291251
1.4125,0.5585497179971929,-1.5739497661268431
1.4375000000000002,0.5583544770247006,-1.5746886841830998
1.4625000000000001,0.5581592360522081,-1.575432400978086
1.4875,0.5579639950797157,-1.5761809427004612
1.5125000000000002,0.5577573745591786,-1.5769704896954793
1.5375,0.5575393744905968,-1.577801910488101
1.5625000000000002,0.5573213744220149,-1.5786393667548109
1.5875000000000001,0.557103374353433,-1.579482895418742
1.6125,0.5568736675772374,-1.5803554238704924
1.6375000000000002,0.5566322540934281,-1.581257833057205
1.6625,0.5563908406096187,-1.5821675611310955
1.6875000000000002,0.5561494271258095,-1.5830846575654385
1.7125000000000001,0.5558962283454498,-1.5840182538886045
1.7375,0.55563124426854,-1.5849692007616418
1.7625000000000002,0.5553662601916302,-1.5859287441219556
1.7875,0.5551012761147203,-1.586896947340256
1.8125000000000002,0.554824449729884,-1.58787067256161
1.8375000000000001,0.5545357810371211,-1.5888507292225376
1.8625,0.5542471123443583,-1.5898406430305707
1.8875000000000002,0.5539584436515954,-1.5908404924379076
1.9125,0.5536580252614854,-1.5918387609958253
1.9375000000000002,0.5533458571740282,-1.592836228361361
1.9625000000000001,0.553033689086571,-1.593844815105732
1.9875,0.5527215209991138,-1.5948646160625461
2.0124999999999997,0.5523977867225562,-1.5958803241807709
2.0375,0.5520624862568984,-1.5968927223696499
2.0625,0.5517271857912404,-1.5979175516760875
2.0875,0.5513918853255825,-1.5989549251347026
2.1125,0.5510451334979176,-1.5999880633093877
2.1374999999999997,0.5506869303082456,-1.6010177814204172
2.1625,0.5503287271185736,-1.6020613360197884
2.1875,0.5499705239289017,-1.603118860807209
2.2125,0.5496009471563778,-1.6041727929231095
2.2375,0.5492199968010021,-1.6052239928694862
2.2624999999999997,0.5488390464456263,-1.6062905525846
2.2875,0.5484580960902505,-1.6073726294030692
2.3125,0.5480656903312763,-1.6084503748092787
2.3375,0.5476618291687034,-1.6095246915076242
2.3625,0.5472579680061306,-1.6106160132664704
2.3875,0.5468541068435577,-1.6117245243806417
2.4125,0.5464384597755304,-1.6128255718879063
2.4375,0.5460110268020488,-1.6139200906196205
2.4625,0.5455835938285671,-1.61503337740893
2.4875,0.5451561608550856,-1.6161656471591188
2.5125,0.5447163592704847,-1.617285787318644
2.5375,0.5442641890747646,-1.6183947662792544
2.5625,0.5438120188790445,-1.6195244061492065
2.5875,0.5433598486833243,-1.620674956716549
2.6125,0.5428945267700381,-1.6218112594537464
2.6375,0.542416053139186,-1.6229343780060674
2.6625,0.5419375795083337,-1.6240802755118908
2.6875,0.5414591058774815,-1.625249242977535
2.7125,0.5409665942723855,-1.6264063015512888
2.7375,0.5404600446930455,-1.6275527051457888
2.7625,0.5399534951137057,-1.628724377167585
2.7875,0.5394469455343659,-1.62992165944548
2.8125,0.5389253963366463,-1.6311147271734012
2.8375,0.5383888475205467,-1.6323051510804614
2.8625,0.5378522987044473,-1.6335239026041712
2.8875,0.5373157498883478,-1.63477138885139
2.9125,0.5367631874654819,-1.636025709050433
2.9375,0.5361946114358497,-1.6372888632252356
2.9625,0.5356260354062174,-1.6385841671223262
2.9875,0.5350574593765852,-1.6399121133618815
3.0125,0.5344715302395815,-1.6412549165176384
3.0375,0.5338682479952065,-1.6426150502486507
3.0625,0.5332649657508315,-1.6440120364429176
3.0875,0.5326616835064565,-1.6454464792271999
3.1125,0.5320393131169837,-1.64689825685218
3.1375,0.531397854582413,-1.6483703230143347
3.1625,0.5307563960478423,-1.6498849079259805
3.1875,0.5301149375132717,-1.6514427595243535
3.2125,0.5294523342958908,-1.6530124824119166
3.2375,0.5287685863956996,-1.6545974435846387
3.2625,0.5280848384955084,-1.6562315549143414
3.2875,0.5274010905953171,-1.6579157460121168
3.3125,0.5266939699305099,-1.659599682047704
3.3375,0.5259634765010867,-1.6612870567435565
3.3625,0.5252329830716636,-1.6630311683165888
3.3875,0.5245024896422403,-1.6648331718025853
3.4125,0.5237468824927416,-1.6666201643665985
3.4375,0.5229661616231673,-1.6683960360322665
3.4625,0.5221854407535931,-1.6702371326587744
3.4875,0.5214047198840187,-1.672144882675279
3.5125,0.5205977424874918,-1.6740206635428116
3.5375,0.5197645085640122,-1.6758683818562434
3.5625,0.5189312746405327,-1.6777906043563438
3.5875,0.5180980407170531,-1.6797890828542945
3.6125,0.5172380513490072,-1.6817370805538814
3.6375,0.516351306536395,-1.6836383067395222
3.6625,0.515464561723783,-1.6856239550951453
3.6875,0.5145778169111708,-1.6876961503036572
3.7125,0.5136641092228208,-1.689696123377279
3.7375,0.512723438658733,-1.6916271565817975
3.7625,0.5117827680946452,-1.6936529926910562
3.7875,0.5108420975305574,-1.6957761767381474
3.8125,0.5098738655128708,-1.697799983045771
3.8375,0.5088780720415853,-1.6997270964356241
3.8625,0.5078822785702999,-1.7017597566030844
3.8875,0.5068864850990144,-1.703900977762184
3.9125,0.5058619762334544,-1.7059117985594519
3.9375,0.5048087519736199,-1.7077942245869815
3.9625,0.5037555277137853,-1.709793331034598
3.9875,0.5027023034539508,-1.711912657055226
4.0125,0.5016184885847491,-1.7138683499947538
4.0375,0.5005040831061804,-1.71566177187339
4.0625,0.49938967762761166,-1.7175836070313957
4.0875,0.4982752721490429,-1.7196379920237022
4.1125,0.4971280445090338,-1.721496578922111
4.1375,0.4959479947075842,-1.723160171568212
4.1625,0.4947679449061346,-1.7249648357049467
4.1875,0.49358789510468504,-1.7269154018849726
4.2125,0.4923727972662433,-1.7286405876263196
4.2375,0.49112265139080935,-1.7301407016090695
4.2625,0.4898725055153754,-1.7317958352177985
4.2875,0.4886223596399415,-1.7336116388098466
4.3125,0.48733516266690674,-1.7351735093516076
4.3375,0.4860109145962712,-1.7364811986818147
4.3625,0.4846866665256357,-1.7379594219574506
4.3875,0.4833624184550001,-1.7396148045912176
4.4125,0.48199948983337126,-1.740985911304595
4.4375,0.48059788066074893,-1.742071681801586
4.4625,0.47919627148812655,-1.743345159195634
4.4875,0.47779466231550427,-1.7448141234946497
4.5125,0.47635296554248685,-1.7459633827400651
4.5375,0.47487118116907445,-1.7467906633549168
4.5625,0.47338939679566205,-1.7478244430326464
4.5875,0.4719076124222496,-1.7490738575464941
4.6125,0.47038474916722783,-1.7499646510352653
4.6375,0.4688208070305966,-1.750492885216587
4.6625,0.4672568648939655,-1.7512479811308446
4.6875,0.46569292275733437,-1.7522406531991104
4.7125,0.46408730244994373,-1.7528344891494945
4.7375,0.46244000397179374,-1.753023506571166
4.7625,0.46079270549364376,-1.7534614329357483
4.7875000000000005,0.4591454070154937,-1.7541608172058647
4.8125,0.4574563052313707,-1.7544221108880638
4.8375,0.45572540014127455,-1.754236956094156
4.8625,0.4539944950511785,-1.7543247181414061
4.8875,0.45226358996108235,-1.7547000822578085
4.9125000000000005,0.45049103770377386,-1.754597600806571
4.9375,0.44867683827925303,-1.754006172007903
4.9625,0.44686263885473215,-1.7537139883660786
4.9875,0.44504843943021133,-1.7537382329174458
5.0125,0.4431928250905588,-1.7532404028607051
5.0375000000000005,0.44129579583577466,-1.7522060859925341
5.0625,0.43939876658099053,-1.751499922313118
5.0875,0.4375017373262064,-1.7511420195972889
5.1125,0.4355635068094292,-1.7502090131822152
5.1375,0.4335840750306587,-1.7486822983097672
5.1625000000000005,0.4316046432518882,-1.747515232916921
5.1875,0.42962521147311783,-1.7467313362220378
5.2125,0.42760470822726865,-1.7453083090920711
5.2375,0.4255431335143409,-1.7432222485058673
5.2625,0.42348155880141314,-1.7415297925029134
5.2875000000000005,0.42141998408848536,-1.740258418946474
5.3125,0.419317430053852,-1.7382709320063736
5.3375,0.4171738966975129,-1.7355367228325116
5.3625,0.41503036334117405,-1.7332321539102595
5.3875,0.41288682998483506,-1.731389258927671
5.4125000000000005,0.4107024588099822,-1.728742673022072
5.4375,0.4084772498166156,-1.7252536604504927
5.4625,0.40625204082324895,-1.7222321552972137
5.4875,0.4040268318298823,-1.7197154117128268
5.5125,0.401761158327539,-1.7162986259613249
5.5375000000000005,0.39945502031621893,-1.7119333902598999
5.5625,0.397148882304899,-1.7080751336704776
5.5875,0.39484274429357896,-1.7047670718915864
5.6125,0.3924968763710031,-1.7004560566983569
5.6375,0.3901112785371712,-1.6950824000119578
5.6625000000000005,0.38772568070333935,-1.6902567089388507
5.6875,0.3853400828695075,-1.686029000061903
5.7125,0.38291619010291206,-1.6806928321326204
5.7375,0.3804540024035531,-1.674175516240078
5.7625,0.3779918147041941,-1.668248701798293
5.7875000000000005,0.375529627004835,-1.662970157442318
5.8125,0.3730312999644662,-1.6564720939483728
5.8375,0.3704968335830875,-1.6486665700927403
5.8625,0.36796236720170883,-1.641495234164931
5.8875,0.36542790082033016,-1.6350246350910178
5.9125000000000005,0.3628602796661308,-1.6272177253171287
5.9375,0.360259503739111,-1.6179686499989736
5.9625,0.35765872781209107,-1.6093978286348931
5.9875,0.35505795188507117,-1.6015816484015077
6.0125,0.3524278799809934,-1.5923077257836111
6.0375000000000005,0.3497685120998578,-1.581449383605903
6.0625,0.3471091442187223,-1.571312685297257
6.0875,0.34444977633758667,-1.5619848914984271
6.1125,0.3417656511267714,-1.55107274805202
6.1375,0.3390567685862762,-1.5384257225458413
6.1625000000000005,0.33634788604578103,-1.5265417429794268
6.1875,0.3336390035052859,-1.5155199082538913
6.2125,0.3309104362977721,-1.5027908424469711
6.2375,0.3281621844232397,-1.488178109548667
6.2625,0.3254139325487072,-1.4743677504105193
6.2875000000000005,0.3226656806741747,-1.461471727698856
6.3125,0.31990301661063547,-1.4467500939969165
6.3375,0.31712594035808916,-1.4299988219354036
6.3625,0.314348864105543,-1.4140878259704994
