τ,i,rC,Dtau,Sr,E,nur,Pi,piR,piEta,yT,phi,mu,y,vC,n,e,P,ok
0.40119770948506744,2,0.04166666666666667,0.0,0.0,186.45093116519368,0.0,0.0,-0.0,0.0,-0.5748799474484239,0.0,1.5,0.0,0.0,0.0,186.45093116519377,56.92541034215362,true
0.40119770948506744,3,0.12499999999999999,0.0,0.00017154114181035284,186.42282153121607,0.0,0.0,0.0,0.0,-0.5749165535826745,0.0,1.5,7.049462427790932e-7,7.049462427789765e-7,0.0,186.42282153109514,56.91650195268329,true
0.40119770948506744,4,0.20833333333333331,0.0,0.00035144429521934665,186.36320086079482,0.0,0.0,0.0,0.0,-0.5749942134248833,0.0,1.5,1.444722221655827e-6,1.4447222216548218e-6,0.0,186.3632008602871,56.897607308123206,true
0.40119770948506744,5,0.2916666666666667,0.0,0.0005505764258349439,186.26484785973986,0.0,0.0,0.0,0.0,-46.051701859880914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
0.40119770948506744,6,0.375,0.0,0.0007836002994055051,186.1189105254703,0.0,0.0,0.0,0.0,-0.5753126741946547,0.0,1.5,3.2255009558330074e-6,3.225500955821822e-6,0.0,186.11891052294283,56.820189520727794,true
0.40119770948506744,7,0.4583333333333333,0.0,0.0010378839880159983,185.9197965552837,0.0,0.0,0.0,0.0,-46.051701859880914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
0.40119770948506744,8,0.5416666666666666,0.0,0.0013050938769078424,185.66363565720138,0.0,0.0,0.0,0.0,-46.051701859880914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
0.40119770948506744,9,0.6249999999999999,0.0,0.0015744402778830316,185.34885751567137,0.0,0.0,0.0,0.0,-46.051701859880914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
0.40119770948506744,10,0.7083333333333333,0.0,0.001831557327782824,184.97651614222016,0.0,0.0,0.0,0.0,-46.051701859880914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
0.40119770948506744,11,0.7916666666666666,0.0,0.0020495647981614885,184.55161847819804,0.0,0.0,0.0,0.0,-46.051701859880914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
0.40119770948506744,12,0.8749999999999999,0.0,0.0022167393936292253,184.08461162658176,0.0,0.0,0.0,0.0,-46.051701859880914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
0.40119770948506744,13,0.9583333333333331,0.0,0.002363573666487342,183.58382510419514,0.0,0.0,0.0,0.0,-46.051701859880914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
