τ,i,rC,Dtau,Sr,E,nur,Pi,piR,piEta,yT,phi,mu,y,vC,n,e,P,ok
0.4,8,0.5416666666666666,0.0,0.0,186.392141744372,0.0,0.0,0.0,0.0,-0.5749565129560404,0.0,1.5,0.0,0.0,0.0,186.392141744372,56.90677907305617,true
0.4,9,0.6249999999999999,0.0,0.0,186.0761192788566,0.0,0.0,0.0,0.0,-0.5753685000434957,0.0,1.5,0.0,0.0,0.0,186.0761192788566,56.806628812258865,true
0.4,10,0.7083333333333333,0.0,0.0,185.7023060026807,0.0,0.0,0.0,0.0,-0.5758567203365592,0.0,1.5,0.0,0.0,0.0,185.7023060026807,56.68816873472052,true
0.4,11,0.7916666666666666,0.0,0.0,185.27571868212942,0.0,0.0,0.0,0.0,-0.5764150540280879,0.0,1.5,0.0,0.0,0.0,185.27571868212942,56.55299085207993,true
0.4,12,0.8749999999999999,0.0,0.0,184.80685608846377,0.0,0.0,0.0,0.0,-0.5770301861801037,0.0,1.5,0.0,0.0,0.0,184.80685608846377,56.40442421748397,true
0.4,13,0.9583333333333331,0.0,0.0,184.30408994618165,0.0,0.0,0.0,0.0,-0.577691514080794,0.0,1.5,0.0,0.0,0.0,184.30408994618165,56.245123488204065,true
0.4,14,1.0416666666666667,0.0,0.0,183.76737135667557,0.0,0.0,0.0,0.0,-0.5783994720664812,0.0,1.5,0.0,0.0,0.0,183.76737135667557,56.07507505303126,true
0.4,15,1.125,0.0,0.0,183.19165844978482,0.0,0.0,0.0,0.0,-0.5791611397410206,0.0,1.5,0.0,0.0,0.0,183.19165844978482,55.892683676303236,true
0.4,16,1.2083333333333333,0.0,0.0,182.56725556444218,0.0,0.0,0.0,0.0,-46.051701859880914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
0.4,17,1.2916666666666667,0.0,0.0,181.87935536211432,0.0,0.0,0.0,0.0,-0.5809061912613773,0.0,1.5,0.0,0.0,0.0,181.87935536211432,55.476978706961965,true
0.4,18,1.375,0.0,0.0,181.11657334986415,0.0,0.0,0.0,0.0,-0.5819262350788006,0.0,1.5,0.0,0.0,0.0,181.11657334986415,55.23537745960381,true
0.4,19,1.4583333333333333,0.0,0.0,180.2778886553604,0.0,0.0,0.0,0.0,-0.5830526906751312,0.0,1.5,0.0,0.0,0.0,180.2778886553604,54.96975993333626,true
0.4,20,1.5416666666666667,0.0,0.0,179.36307043145933,0.0,0.0,0.0,0.0,-0.5842873206926372,0.0,1.5,0.0,0.0,0.0,179.36307043145933,54.68006031775805,true
0.4,21,1.625,0.0,0.0,178.3707092320383,0.0,0.0,0.0,0.0,-0.5856336547890519,0.0,1.5,0.0,0.0,0.0,178.3707092320383,54.365840425614216,true
0.4,22,1.7083333333333333,0.0,0.0,177.29771620038306,0.0,0.0,0.0,0.0,-0.5870977316152457,0.0,1.5,0.0,0.0,0.0,177.29771620038306,54.02613142130145,true
0.4,23,1.7916666666666667,0.0,0.0,176.13959139563315,0.0,0.0,0.0,0.0,-0.5886878217309469,0.0,1.5,0.0,0.0,0.0,176.13959139563315,53.65951920682776,true
0.4,24,1.875,0.0,0.0,174.89722877222903,0.0,0.0,0.0,0.0,-46.051701859880914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
